gear,speed_bin_mph,total_time_s,distance_miles,fuel_gal,mpg
4.0,32,82.20699999999675,0.7448363493211344,0.04151230838681655,17.94254230289152
4.0,33,60.85800000000086,0.567248692510926,0.03036430152339741,18.681433922457558
4.0,34,128.53699999999833,1.2293743343512722,0.06724163257418754,18.28293405867126
4.0,35,41.14599999999825,0.40487030049466377,0.028057687267181303,14.429924200068873
4.0,36,63.95800000000031,0.6466381712250153,0.04763139322932843,13.575881942224104
4.0,37,41.89600000000166,0.43670528892328264,0.03358502799956805,13.002975281988727
4.0,38,13.184999999998354,0.14106597790379122,0.012060007224094628,11.697006086526732
4.0,39,14.787000000001171,0.1619315375936666,0.017485689581786538,9.260803632379355
4.0,40,8.17199999999957,0.09174905799434542,0.009818369870242889,9.34463248042984
4.0,41,13.844999999999004,0.1586497564334449,0.015945491427235916,9.949505611502257
4.0,42,8.730999999999085,0.10317907347182213,0.01168891152847604,8.827089949347428
4.0,43,3.8510000000017044,0.046503086839054686,0.006052997905720113,7.682653713643125
4.0,44,3.8169999999995525,0.0470215137276688,0.007223749519145759,6.509294598745902
4.0,45,5.492999999999483,0.0699039516814991,0.007223873160522886,9.676796661313366
4.0,46,1.9080000000014934,0.024666085873616277,0.0026878525374933655,9.176874672082773
4.0,47,4.330000000000382,0.05727222410309168,0.004930787361091775,11.615228950049563
4.0,48,2.974999999999227,0.04003504636362476,0.003135107404590082,12.769912222149012
4.0,49,2.8030000000005657,0.03841714976942821,0.005296872416990901,7.252798773517109
4.0,50,2.5499999999999545,0.03589559375603861,0.00589508191160843,6.089074637852616
4.0,51,2.069999999999254,0.029655862197017095,0.0036047466174231706,8.226892301855155
4.0,52,1.801000000000613,0.02614316057687963,0.0032287164895618797,8.097075311938312
4.0,53,0.7919999999999163,0.011772481011714688,0.000991807322277726,11.869725850257593
4.0,54,1.1950000000006185,0.018063072450337316,0.002353357317942693,7.675448310640761
4.0,55,2.501000000000886,0.03865541531115629,0.004832043174274911,7.999807517646375
4.0,56,1.7619999999997162,0.02769355217646708,0.003824407924388977,7.241265242617041
4.0,57,2.7659999999982574,0.04408019543570903,0.005190759626218964,8.492050992509121
4.0,58,1.1210000000005493,0.01817637746293429,0.0024334794716722487,7.469295580473407
4.0,59,2.1310000000000855,0.03519443225991195,0.0036857207681680712,9.548860175157756
4.0,60,0.05099999999993088,0.0008566637503635637,1.8712187042010152e-05,45.78105960785313
4.0,64,0.1710000000002765,0.003070765127685183,3.3021506544988794e-06,929.9288400126583
4.0,65,0.9299999999993815,0.016908848491045382,2.370822348023806e-05,713.2060529604724
4.0,66,0.22000000000025466,0.004069588619474106,7.499700799353663e-05,54.26334634342786
4.0,67,0.8800000000001091,0.01646371708275872,0.00037576392085989825,43.813991096013545
4.0,68,2.168999999999869,0.04137799335015229,0.001201877560062306,34.427794248864444
4.0,69,0.05099999999993088,0.0009823957659020255,2.521001377646641e-05,38.96847398072799
4.0,72,0.1069999999999709,0.002161255337387944,4.048510083512632e-05,53.38396824524546
