gear_int,rpm_bin,n_samples,mean_phys_torque,mean_ecm_torque,mean_error_nm,ratio_phys_over_ecm
3,750.0,248,32.873695794697966,5.805531132691532,27.068164662006435,5.6624785990006785
3,850.0,293,34.00404316090549,11.545691089720137,22.458352071185352,2.9451717438708758
3,950.0,122,36.50911984613183,18.489858200213934,18.019261645917897,1.9745483957096766
3,1050.0,439,37.55997025878131,26.942930313984963,10.61703994479635,1.3940566160053305
3,1150.0,177,39.34097590567536,34.19461961118136,5.146356294493998,1.1505019313860472
3,1250.0,64,29.82118846559667,46.269540852879686,-16.448352387283016,0.6445101445985212
3,1350.0,20,-52.17971325772836,55.802561459,-107.98227471672837,-0.9350773852212237
3,1450.0,11,43.91431203470547,51.456310069909094,-7.541998035203626,0.8534290930508428
3,1550.0,9,74.02213884835909,19.976959381255554,54.04517946710354,3.705375649800555
3,1650.0,44,31.784869422921325,38.02829455495455,-6.243425132033224,0.8358215848199326
3,1750.0,22,48.846537662160884,22.77583054925,26.070707112910885,2.1446654846037827
3,1850.0,29,42.24088739927675,29.591230360944827,12.649657038331924,1.4274799284800008
3,1950.0,69,34.47296803825397,37.45223852607536,-2.9792704878213954,0.9204514708580867
3,2050.0,32,69.36613827486775,40.90176374983437,28.464374525033378,1.6959204668808112
3,2150.0,25,47.03912670486095,24.992136363735998,22.04699034112495,1.8821570921450115
3,2250.0,37,59.231846029505185,40.39891265306217,18.832933376443016,1.466174264099049
3,2350.0,25,49.69195987238281,152.078182341104,-102.38622246872119,0.32675272091907404
3,2450.0,16,66.7394761147866,143.17724022141874,-76.43776410663214,0.4661318797008258
3,2550.0,12,77.59601770405845,97.94755396309166,-20.35153625903321,0.7922200663969411
3,2650.0,20,54.0787187514279,73.52010997094,-19.4413912195121,0.7355636270512025
3,2750.0,19,72.87220688614555,62.513906030010524,10.358300856135024,1.1656959469331896
3,2850.0,9,75.48311841212032,31.04803200387778,44.43508640824254,2.4311723977446547
3,2950.0,13,80.30931647656688,10.997570898061538,69.31174557850534,7.302459535925558
3,3050.0,21,98.84085050778666,38.596238187409526,60.24461232037713,2.5608933706920047
3,3150.0,20,80.12901295176421,82.562570041915,-2.433557090150785,0.9705246931034811
3,3250.0,24,66.72114494513352,96.56685672250417,-29.845711777370653,0.6909321397595481
3,3350.0,17,63.85619154720548,171.55395740458823,-107.69776585738275,0.37222220060251227
3,3450.0,10,83.00271420628108,120.03280118958,-37.030086983298915,0.6915002681240977
3,3550.0,5,86.26453635997248,57.1393593025,29.125177057472484,1.509721799701702
3,3650.0,4,83.74724678080338,19.6552066087,64.09204017210338,4.260817423498071
4,850.0,243,50.46753335879294,18.289018218312346,32.1785151404806,2.7594446435763857
4,950.0,562,54.31923303992161,20.148736693205517,34.17049634671609,2.695912595762837
4,1050.0,862,58.7167160206848,22.2610480337174,36.4556679869674,2.637643831132762
4,1150.0,814,58.27912582166339,29.73297163694189,28.5461541847215,1.9600841292719688
