gear_int,rpm_bin,n_samples,mean_phys_torque,mean_ecm_torque,mean_error_nm,ratio_phys_over_ecm
2,4550.0,7,0.0,15.246101089042856,-15.246101089042856,0.0
2,4750.0,4,0.0,109.52754945375,-109.52754945375,0.0
2,4850.0,5,0.0,144.25644679694,-144.25644679694,0.0
3,750.0,5,0.0,15.1033268637,-15.1033268637,0.0
3,850.0,91,1.3256566447574845,20.84859305131099,-19.522936406553505,0.06358494510852018
3,950.0,98,-2.5333298366319816,21.42784894665204,-23.961178783284023,-0.11822604513122618
3,1050.0,437,-1.352655136963788,27.05530355044165,-28.407958687405436,-0.049995932754622795
3,1150.0,171,0.0,34.85013459058772,-34.85013459058772,0.0
3,1250.0,60,-11.59039794202753,49.19629572125834,-60.78669366328587,-0.23559493193751116
3,1350.0,14,0.0,76.5900234932,-76.5900234932,0.0
3,1450.0,3,0.0,153.0221734595667,-153.0221734595667,0.0
3,1550.0,4,60.31737709862278,21.7888469524,38.52853014622278,2.7682684278976466
3,1650.0,38,-1.5250523595426198,40.80416252508421,-42.32921488462683,-0.03737492121312622
3,1750.0,11,0.0,30.228384456900002,-30.228384456900002,0.0
3,1850.0,15,15.762941208770625,43.232491891120006,-27.46955068234938,0.36460866628898503
3,1950.0,52,-12.080760930297389,48.322036946373075,-60.40279787667046,-0.25000520867330983
3,2050.0,16,31.873594296184066,61.7771826335875,-29.903588337403434,0.5159444464347389
3,2150.0,20,-11.59039797373738,31.283787461179998,-42.87418543491738,-0.3704921594969882
3,2250.0,32,0.0,47.56539353829375,-47.56539353829375,0.0
3,2350.0,22,0.0,172.89342911218182,-172.89342911218182,0.0
3,2450.0,8,0.0,283.48022887855,-283.48022887855,0.0
3,2550.0,9,13.135784287788239,128.7012084542667,-115.56542416647845,0.1020641876292558
3,2650.0,20,-13.0044264969132,73.52010997094,-86.5245364678532,-0.17688257678141953
3,2750.0,19,0.0,62.513906030010524,-62.513906030010524,0.0
3,2850.0,9,0.0,31.04803200387778,-31.04803200387778,0.0
3,2950.0,13,0.0,10.997570898061538,-10.997570898061538,0.0
3,3050.0,21,18.577752113522646,38.596238187409526,-20.01848607388688,0.4813358240592186
3,3150.0,20,0.0,82.562570041915,-82.562570041915,0.0
3,3250.0,24,-16.255533099342713,96.56685672250417,-112.82238982184688,-0.1683344954061706
3,3350.0,17,-20.86271627774433,171.55395740458823,-192.41667368233257,-0.1216102303518552
3,3450.0,10,0.0,120.03280118958,-120.03280118958,0.0
3,3550.0,5,0.0,57.1393593025,-57.1393593025,0.0
3,3650.0,4,0.0,19.6552066087,-19.6552066087,0.0
4,850.0,220,-3.496089147063332,19.313781091636816,-22.80987023870015,-0.18101526213203256
