gear,rpm_center,pedal_center,n_samples,eng_torque_mean,eng_torque_p50,eng_torque_p75,axle_torque_mean,cyl_airmass_mean,cyl_airmass_p50,airflow_mass_mean,map_kpa_mean,ve_mgk_kpa_mean,ve_airflow_mean,spark_mean,spark_p50,knock_p95,lambda_eq_mean,coverage_ok
4,3575.0,65.0,84,391.1101027107393,385.5306336217,429.19202450855,1340.904940056401,0.7630091630869047,0.7577890625,174.88144784428692,14.31462515637024,2099.996532768884,172.5084565091643,12.600957430755956,14.0,0.0,0.8859250634333333,True
4,3575.0,75.0,111,411.90530230075217,429.0914115347,439.5179596958,1363.7323243473077,0.7609283303063061,0.7576091549,184.98825785903333,14.232233942661262,2107.8266330338297,183.55570982118647,10.974960066727029,14.4705882353,0.0,0.8977835694585585,True
4,3575.0,90.0,33,400.9167288518788,425.4863169643,428.0077455357,1279.7504178299575,0.7628737982757574,0.7667253521,184.9401769688364,14.208533507403027,2102.8596907615306,191.4833994120121,14.089965889154543,14.0,0.0,0.8846464831454545,True
4,3825.0,55.0,245,375.0208321255395,409.1696693157,424.6107668297,1418.501698321816,0.734277864210204,0.736035,166.06684974204572,12.504831820920815,2123.463605261578,162.5303541481335,9.758640462751837,13.0588235294,0.0,0.8977338264640816,True
4,3825.0,65.0,50,374.139880768478,364.90110349325,434.98490569322496,1464.407142691956,0.7700747363939999,0.7698844866,184.175158591418,14.25028390077,2134.156816974228,180.651810683982,10.44493612108,14.47596153845,0.0,0.8889291798000001,True
4,3825.0,75.0,48,396.1010640495312,400.40656333555,417.76153074865,1453.3923752193066,0.7805657775145832,0.7779165797500001,199.50650683456456,14.224328050729165,2167.030045287373,195.95695802135208,7.012641246229166,9.34630503145,0.0,0.897316638875,True
4,3825.0,90.0,51,409.764171132453,428.7968794039,430.7805901605,1341.1703533318882,0.767379280482353,0.7655176056,195.2566759002765,14.2228504062451,2132.151698739582,197.9485869247824,14.627399101023528,14.25,0.0,0.8875999790686273,True
4,4075.0,55.0,252,426.5824364588143,428.41749015465,434.8384702988,1687.7694212519532,0.7454950101392858,0.7466271834,196.6129286425345,13.014691446824605,2160.046362955348,194.65682657362024,16.460228613631745,17.5,0.0,0.891162264790873,True
4,4075.0,90.0,30,399.42195391527,437.2830887528,439.755749401775,1398.7551242469633,0.7958779971700002,0.8067014218,216.60564507463667,14.120699285366667,2215.851855622254,228.0171420493467,3.1112471655366667,-2.0,0.0,0.9070781052733332,True
5,1575.0,35.0,26,304.4906764201192,304.47449846610004,317.619086110475,675.7822153852192,0.6770001502384615,0.6769714355500001,71.17771859977692,14.464450151657692,1980.0296875533231,85.91366890347693,-0.7961261427615386,-0.9744897959,0.0,1.006076946130769,True
