gear,speed_center,pedal_center,n_samples,eng_torque_mean,eng_torque_p50,axle_torque_mean,cyl_airmass_mean,cyl_airmass_p50,airflow_mass_mean,map_kpa_mean,ve_mgk_kpa_mean,spark_mean,spark_p50,knock_p95,lambda_eq_mean,coverage_ok
4,73.75,55.0,354,398.74357487314893,422.13213417484997,1240.419974206425,0.7412915047409605,0.73671681265,144.66935636654208,14.30541672238983,,10.52423155720932,14.6732352941,0.0,0.9026310603228813,True
4,76.25,45.0,709,423.654344255269,427.0605357397,1214.8109101679743,0.7502888396284908,0.7507067972,153.17364890175077,14.151968527657264,,13.743380059812695,14.0,0.0,0.9060910007049364,True
4,76.25,55.0,754,409.9844896732064,422.13061172885,1235.836838345102,0.7439317053973475,0.74423954195,154.42485776225396,14.011424212404645,,12.022330675162467,14.0,0.0,0.9061611692197613,True
4,76.25,65.0,21,361.9572275858905,360.3418441433,1173.022852988662,0.7551374902428571,0.7539375,144.54125714285715,14.410396895561906,,8.441661998133332,11.1470588235,0.0,0.9787746501047621,True
4,76.25,90.0,80,319.83386991474254,320.0527446546,1414.8507260195463,0.7482151730437501,0.74281693175,228.9837108047675,14.124754427611247,,11.967045906827499,14.9454901961,0.0,0.90996650349375,True
4,78.75,45.0,850,422.5375079219866,428.0347969636,1263.0801843187974,0.7545374969412941,0.7565703125000001,162.08254542907437,14.207573055370355,,13.694854396729767,14.0,0.0,0.8870026910978823,True
4,78.75,55.0,744,420.9234365664475,428.91841059440003,1355.9117367305612,0.7540628133249999,0.75559782865,164.37345390056615,13.86967309736183,,14.45598375341626,14.0,0.0,0.8834475569169354,True
4,78.75,65.0,153,377.5444582292151,376.5945089286,1355.5197618569662,0.7628479345718954,0.759955518,169.0214774437915,14.296102933911111,,11.196274323723529,13.7291666667,0.0,0.9062909902078431,True
4,78.75,75.0,172,415.5559897171377,423.5027658492,1209.8298263029405,0.7506616360773255,0.74802139425,170.13471797096395,14.22857046885291,,8.714626568652324,14.0,0.0,0.9300857742860466,True
4,81.25,45.0,457,425.805574127628,429.4336610218,1280.095613003657,0.7587990956260394,0.7625136364,160.97889439275625,13.895701183828667,,13.82735250555361,13.5,0.0,0.8763510568212255,True
4,81.25,55.0,920,422.60871304053325,429.41575078755,1390.814245167528,0.750165004798913,0.7588466808500001,170.780263175218,13.608723906876195,,12.458559491053586,13.52020408165,0.0,0.8854072920116304,True
4,81.25,65.0,26,432.2596302165423,432.13086372495,1333.5076834660192,0.7657497097423078,0.76522098215,180.2853735216923,14.295400924288462,,11.26528974298846,13.58163265305,0.0,0.8816575003692309,True
4,81.25,75.0,60,433.1093930130266,433.4371663956,1359.7823991194316,0.76536357194,0.7577786720499999,186.44192919223667,14.209345885618335,,8.6933852668,13.92647058825,0.0,0.9123241540233334,True
4,81.25,90.0,22,428.786104317141,428.81731345125,1351.0997136225185,0.7592360842727274,0.75611619715,184.18534663544548,14.325689655863636,,14.244243613531818,14.2474489796,0.0,0.8814776712181819,True
4,83.75,55.0,1092,421.17933277075326,430.7248744932,1267.4088956399146,0.7612028187988096,0.7647464285500001,166.9888089374218,14.110107130554029,,13.034220146389744,13.5,0.0,0.8924959279072344,True
4,83.75,65.0,64,380.07741104739216,378.51375902815,1311.2873852688858,0.7629815718015625,0.7570887277,170.3823036209125,14.358999506306253,,8.990231851154688,14.1502403846,0.0,0.9003218845984375,True
4,83.75,75.0,48,387.39600628302713,387.13075492985,1410.65654448785,0.7752173040083333,0.7730404783,201.90857778354166,14.215704401679167,,10.818252644808334,14.5,0.0,0.8958482694229167,True
4,83.75,90.0,119,404.8218771623588,424.8244419643,1226.7554270790436,0.7661965476672268,0.765,172.2595333583504,14.197296344886551,,8.565679587886555,13.5,0.0,0.909871459729412,True
4,86.25,7.5,86,146.83182513560004,136.53991838669998,412.73147737243943,0.1846530962709302,0.17854944445,55.659322899803485,4.720880850209302,,27.326820906063958,36.5,0.0,0.8511781672372092,True
4,86.25,12.5,27,262.88712992631486,291.8447818396,760.7673342458259,0.3229220826148148,0.288935,115.7038315081074,7.992480520962964,,33.35317796228148,35.3725490196,0.0,0.7785028699481481,True
4,86.25,55.0,910,416.86756643854363,433.3331513866,1274.3210425305265,0.7576974090048352,0.77048313055,167.40984399197526,13.65744244724824,,12.976945565500001,13.5,0.0,0.8841100086452747,True
4,86.25,65.0,141,413.7610981441688,428.2976951882,1342.0069368843044,0.7650857754368795,0.7615221519,174.31706981213685,14.180062658465248,,13.179251296263121,14.5,0.0,0.8841939319879434,True
4,88.75,55.0,690,430.57546984720113,434.3372675908,1305.0171543877887,0.7766756615591304,0.77663871615,171.66283692104116,14.101328928980868,,13.258421059175218,13.242710795899999,0.0,0.8813033286313043,True
4,88.75,65.0,185,428.7567239067794,431.3710199698,1285.8770905708336,0.7732278043783785,0.7684612069,181.89566831277028,13.940370415424862,,11.419356760620541,13.5,0.0,0.8862185616464865,True
5,46.25,7.5,84,91.93069812116906,83.64304892210001,182.93846932187495,0.17286085665238096,0.17004089805,10.949069053444047,4.8089046046309525,,23.707651078086904,30.366122449000002,0.0,0.990953324329762,True
