gear,speed_bin_mph,pedal_bin_pct,LOCKED,OPEN,PARTIAL,total_time_s,frac_locked,frac_partial,frac_open,LOCKED_smoothed,PARTIAL_smoothed,OPEN_smoothed,total_time_s_smoothed,frac_locked_smoothed,frac_partial_smoothed,frac_open_smoothed
3,21,36,0.0,0.0,0.010999999999967258,0.010999999999967258,0.0,1.0,0.0,0.0011111111110849107,0.0045555555556246775,0.0,0.0056666666667095885,0.19607843136644024,0.8039215686335597,0.0
3,21,37,0.009999999999763531,0.0,0.011000000000422006,0.021000000000185537,0.4761904761750086,0.5238095238249914,0.0,0.023222222222153175,0.002444444444487696,0.0,0.025666666666640872,0.9047619047601239,0.09523809523987607,0.0
3,21,38,0.19899999999961437,0.0,0.0,0.19899999999961437,1.0,0.0,0.0,0.023222222222153175,0.00666666666671113,0.0,0.029888888888864304,0.7769516728607825,0.22304832713921754,0.0
3,21,39,0.0,0.0,0.04899999999997817,0.04899999999997817,0.0,1.0,0.0,0.022111111111068338,0.009777777777799201,0.02455555555555596,0.056444444444423494,0.39173228346395456,0.17322834645713675,0.43503937007890875
3,21,40,0.0,0.068000000000211,0.0,0.068000000000211,0.0,0.0,1.0,0.0,0.009777777777799201,0.053555555555552324,0.06333333333335153,0.0,0.1543859649125746,0.8456140350874253
3,22,0,0.5590000000001965,1.9189999999990732,3.5250000000003183,6.002999999999588,0.0931201066133991,0.5872063968016925,0.31967349658490835,0.13733333333326905,2.368166666666904,1.3728333333331193,3.878333333333292,0.03541039965619351,0.6106145251397325,0.35397507520407406
3,22,1,0.009000000000014552,0.03099999999949432,0.01999999999998181,0.05999999999949068,0.15000000000151584,0.3333333333358597,0.5166666666626245,0.09588888888886989,1.5832222222223764,0.9252222222220957,2.604333333333342,0.03681897691880311,0.6079184265540911,0.35526259652710585
3,22,2,0.0,0.09000000000014552,0.03999999999996362,0.13000000000010914,0.0,0.30769230769176953,0.6923076923082304,0.0454444444445067,0.009111111111097771,0.016555555555492495,0.07111111111109697,0.6390625000010026,0.1281249999998379,0.2328124999991595
3,22,3,0.16900000000032378,0.027999999999792635,0.021999999999934516,0.21900000000005093,0.771689497718194,0.10045662100424384,0.1278538812775622,0.08955555555561052,0.006888888888877571,0.013111111111104239,0.10955555555559232,0.8174442190671646,0.06288032454348613,0.11967545638934944
3,22,4,0.07900000000017826,0.0,0.0,0.07900000000017826,1.0,0.0,0.0,0.2656666666666246,0.03555555555557374,0.03888888888882825,0.34011111111102654,0.781117281934079,0.10454099967338884,0.11434171839253227
3,22,5,1.3609999999994216,0.32199999999966167,0.2810000000004038,1.963999999999487,0.6929735234214751,0.14307535641572158,0.16395112016280333,0.23133333333326944,0.044333333333371326,0.03577777777774018,0.3114444444443809,0.7427755975739743,0.14234748483782494,0.11487691758820097
3,22,6,0.0,0.0,0.03999999999996362,0.03999999999996362,0.0,1.0,0.0,0.29699999999982335,0.07855555555559274,0.046666666666624224,0.4222222222220403,0.7034210526314636,0.18605263157911558,0.11052631578942078
3,22,7,0.007999999999810825,0.009000000000014552,0.09900000000016007,0.11599999999998545,0.06896551723975715,0.853448275863556,0.07758620689668691,0.24433333333329046,0.10433333333326623,0.03333333333340407,0.38199999999996076,0.6396160558463758,0.2731239092494161,0.0872600349042081
3,22,8,1.011000000000422,0.010000000000218279,0.24899999999934153,1.2699999999999818,0.7960629921263279,0.19606299212546857,0.007874015748203482,0.24433333333329046,0.13755555555556184,0.034333333333405686,0.416222222222258,0.587026161238501,0.33048585157500004,0.08248798718649883
3,22,9,0.0,0.009000000000014552,0.09000000000060027,0.09900000000061482,0.0,0.9090909090913267,0.09090909090867333,0.1277777777778384,0.2957777777777311,0.024777777777823456,0.44833333333339304,0.28500619578696224,0.6597273853777511,0.055266418835286595
3,22,10,0.0,0.011999999999716238,0.08099999999967622,0.09299999999939246,0.0,0.8709677419376921,0.12903225806230786,0.0,0.5606666666666469,0.004111111111190738,0.5647777777778377,0.0,0.9927208341529189,0.007279165847080999
3,22,11,0.0,0.016000000000985892,2.683999999999287,2.700000000000273,0.0,0.9940740740737095,0.0059259259262904726,0.03422222222222141,0.6867777777777064,0.06855555555567762,0.7895555555556054,0.04334365325077023,0.8698283141006147,0.0868280326486152
3,22,12,0.2680000000000291,0.17000000000098225,1.2559999999998581,1.6940000000008695,0.15820543093263964,0.7414403778035499,0.10035419126381051,0.03422222222222141,0.5067777777777691,0.17388888888904652,0.714888888889037,0.047870686975431904,0.7088902704381376,0.2432390425864306
3,22,13,0.0,0.15099999999983993,0.07200000000011642,0.22299999999995634,0.0,0.3228699551575359,0.6771300448424641,0.042222222222234346,0.22377777777784205,0.28555555555562423,0.5515555555557006,0.07655116841257237,0.40572119258663353,0.5177276390007942
3,22,14,0.07200000000011642,0.9710000000004584,0.16699999999991633,1.2100000000004911,0.05950413223147702,0.13801652892549465,0.8024793388430284,0.008000000000012936,0.06444444444438584,0.3572222222222384,0.42966666666663716,0.018619084561707102,0.1499870700800394,0.8313938453582534
3,22,15,0.0,0.8839999999995598,0.009999999999763531,0.8939999999993233,0.0,0.011185682326365885,0.9888143176736341,0.03344444444443676,0.05555555555550504,0.8317777777778147,0.9207777777777565,0.036321950042227324,0.060335465186383115,0.9033425847713896
3,22,16,0.17800000000033833,2.7260000000001128,0.012000000000170985,2.916000000000622,0.061042524005589974,0.0041152263375063185,0.9348422496569037,0.025444444444423828,0.02155555555552584,1.3184444444444743,1.365444444444424,0.01863455122465765,0.015786475709963013,0.9655789730653793
3,22,17,0.0,3.117000000000189,0.01900000000023283,3.136000000000422,0.0,0.006058673469461184,0.9939413265305388,0.025444444444423828,0.010333333333392147,1.8358888888889802,1.871666666666796,0.013594538438693892,0.00552092609085918,0.980884535470447
